family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,fixed,avx2,multiversioned,16384,ConstantRhs,PartialAccepted,33960.0,49040.0,34460.0,35260.0
bool,fixed,avx2,plain,16384,Columns,AllValid,97120.0,150200.0,97450.0,98690.0
bool,fixed,avx2,plain,16384,Columns,NullOnlyFailure,340100.0,392800.0,356400.0,356200.0
bool,fixed,avx2,plain,16384,Columns,ObservableFailure,154300.0,191100.0,155300.0,157000.0
bool,fixed,avx2,plain,16384,Columns,PartialAccepted,103400.0,119100.0,104000.0,105200.0
bool,fixed,avx2,plain,16384,ConstantLhs,AllValid,97960.0,145100.0,98330.0,99540.0
bool,fixed,avx2,plain,16384,ConstantLhs,NullOnlyFailure,352800.0,444800.0,360600.0,360900.0
bool,fixed,avx2,plain,16384,ConstantLhs,ObservableFailure,154900.0,208200.0,156200.0,157800.0
bool,fixed,avx2,plain,16384,ConstantLhs,PartialAccepted,103900.0,121700.0,104500.0,105700.0
bool,fixed,avx2,plain,16384,ConstantRhs,AllValid,97700.0,130900.0,98050.0,99260.0
bool,fixed,avx2,plain,16384,ConstantRhs,NullOnlyFailure,365600.0,555800.0,370100.0,371000.0
bool,fixed,avx2,plain,16384,ConstantRhs,ObservableFailure,154500.0,208100.0,155600.0,157300.0
bool,fixed,avx2,plain,16384,ConstantRhs,PartialAccepted,103900.0,122400.0,104400.0,105600.0
bool,fixed,avx512,multiversioned,16384,Columns,AllValid,37540.0,119400.0,38580.0,39130.0
bool,fixed,avx512,multiversioned,16384,Columns,NullOnlyFailure,279700.0,328700.0,286700.0,287000.0
bool,fixed,avx512,multiversioned,16384,Columns,ObservableFailure,94010.0,113400.0,95410.0,96990.0
bool,fixed,avx512,multiversioned,16384,Columns,PartialAccepted,43950.0,55040.0,45070.0,45380.0
bool,fixed,avx512,multiversioned,16384,ConstantLhs,AllValid,30560.0,40330.0,30910.0,31340.0
bool,fixed,avx512,multiversioned,16384,ConstantLhs,NullOnlyFailure,302500.0,444700.0,309500.0,309800.0
bool,fixed,avx512,multiversioned,16384,ConstantLhs,ObservableFailure,87120.0,99730.0,88210.0,89150.0
bool,fixed,avx512,multiversioned,16384,ConstantLhs,PartialAccepted,36760.0,46940.0,37250.0,37870.0
bool,fixed,avx512,multiversioned,16384,ConstantRhs,AllValid,30460.0,39670.0,30760.0,31360.0
bool,fixed,avx512,multiversioned,16384,ConstantRhs,NullOnlyFailure,284600.0,311500.0,292900.0,293300.0
bool,fixed,avx512,multiversioned,16384,ConstantRhs,ObservableFailure,86820.0,165300.0,88220.0,89600.0
bool,fixed,avx512,multiversioned,16384,ConstantRhs,PartialAccepted,36840.0,48710.0,37290.0,37970.0
bool,fixed,avx512,plain,16384,Columns,AllValid,37560.0,106900.0,37880.0,38770.0
bool,fixed,avx512,plain,16384,Columns,NullOnlyFailure,279600.0,305700.0,285900.0,286500.0
bool,fixed,avx512,plain,16384,Columns,ObservableFailure,93850.0,113900.0,95610.0,97280.0
bool,fixed,avx512,plain,16384,Columns,PartialAccepted,44140.0,138700.0,45260.0,45870.0
bool,fixed,avx512,plain,16384,ConstantLhs,AllValid,32159.999999999996,154500.0,32570.0,33430.0
bool,fixed,avx512,plain,16384,ConstantLhs,NullOnlyFailure,304000.0,324800.0,310600.0,310700.0
bool,fixed,avx512,plain,16384,ConstantLhs,ObservableFailure,88640.0,105900.0,89930.0,91050.0
bool,fixed,avx512,plain,16384,ConstantLhs,PartialAccepted,38630.0,48330.0,39080.0,39690.0
bool,fixed,avx512,plain,16384,ConstantRhs,AllValid,32060.000000000004,41260.0,32340.000000000004,32920.0
bool,fixed,avx512,plain,16384,ConstantRhs,NullOnlyFailure,287600.0,356000.0,297400.0,298100.0
bool,fixed,avx512,plain,16384,ConstantRhs,ObservableFailure,88470.0,107400.0,89680.0,90890.0
bool,fixed,avx512,plain,16384,ConstantRhs,PartialAccepted,38660.0,49700.0,39090.0,39780.0
bool,fixed,neon,multiversioned,16384,Columns,AllValid,62080.0,80240.0,63540.0,64190.0
bool,fixed,neon,multiversioned,16384,Columns,NullOnlyFailure,381600.0,432500.0,394400.0,394100.0
bool,fixed,neon,multiversioned,16384,Columns,ObservableFailure,159500.0,181400.0,164300.0,165200.0
bool,fixed,neon,multiversioned,16384,Columns,PartialAccepted,68440.0,91050.0,71010.0,71620.0
bool,fixed,neon,multiversioned,16384,ConstantLhs,AllValid,48250.0,87380.0,49670.0,50210.0
bool,fixed,neon,multiversioned,16384,ConstantLhs,NullOnlyFailure,379800.0,414200.0,392800.0,392700.0
bool,fixed,neon,multiversioned,16384,ConstantLhs,ObservableFailure,150000.0,164000.0,152100.0,153000.0
bool,fixed,neon,multiversioned,16384,ConstantLhs,PartialAccepted,55220.0,69120.0,57620.0,58120.0
bool,fixed,neon,multiversioned,16384,ConstantRhs,AllValid,44800.0,54310.0,45860.0,46320.0
bool,fixed,neon,multiversioned,16384,ConstantRhs,NullOnlyFailure,373600.0,423900.0,383500.0,383400.0
bool,fixed,neon,multiversioned,16384,ConstantRhs,ObservableFailure,145700.0,165700.0,148100.0,149000.0
bool,fixed,neon,multiversioned,16384,ConstantRhs,PartialAccepted,51570.0,70100.0,53760.0,54320.0
bool,fixed,neon,plain,16384,Columns,AllValid,61790.0,82170.0,63180.0,63770.0
bool,fixed,neon,plain,16384,Columns,NullOnlyFailure,382700.0,418000.0,394100.0,394000.0
bool,fixed,neon,plain,16384,Columns,ObservableFailure,159600.0,181100.0,163900.0,164700.0
bool,fixed,neon,plain,16384,Columns,PartialAccepted,68660.0,87930.0,71150.0,71880.0
bool,fixed,neon,plain,16384,ConstantLhs,AllValid,48310.0,65800.0,49730.0,50230.0
bool,fixed,neon,plain,16384,ConstantLhs,NullOnlyFailure,382900.0,441600.0,393300.0,393800.0
bool,fixed,neon,plain,16384,ConstantLhs,ObservableFailure,150200.0,177700.0,152500.0,153500.0
bool,fixed,neon,plain,16384,ConstantLhs,PartialAccepted,55110.0,68590.0,57740.0,58120.0
bool,fixed,neon,plain,16384,ConstantRhs,AllValid,44560.0,53200.0,45860.0,46280.0
bool,fixed,neon,plain,16384,ConstantRhs,NullOnlyFailure,371400.0,412700.0,382700.0,382900.0
bool,fixed,neon,plain,16384,ConstantRhs,ObservableFailure,145800.0,161500.0,148900.0,149900.0
bool,fixed,neon,plain,16384,ConstantRhs,PartialAccepted,51960.0,88530.0,54610.0,55080.0
bool,regressed,avx2,multiversioned,16384,Columns,AllValid,371300.0,470900.0,388300.0,388600.0
bool,regressed,avx2,multiversioned,16384,Columns,NullOnlyFailure,617600.0,843000.0,639300.0,639600.0
bool,regressed,avx2,multiversioned,16384,Columns,ObservableFailure,425500.0,511300.0,448500.0,448800.0
bool,regressed,avx2,multiversioned,16384,Columns,PartialAccepted,377700.0,444100.0,398700.0,398800.0
bool,regressed,avx2,multiversioned,16384,ConstantLhs,AllValid,351600.0,418200.0,374200.0,374600.0
bool,regressed,avx2,multiversioned,16384,ConstantLhs,NullOnlyFailure,626500.0,710500.0,657500.0,657400.0
bool,regressed,avx2,multiversioned,16384,ConstantLhs,ObservableFailure,408500.0,467500.0,432800.0,433500.0
bool,regressed,avx2,multiversioned,16384,ConstantLhs,PartialAccepted,375400.0,431000.0,399300.0,399000.0
bool,regressed,avx2,multiversioned,16384,ConstantRhs,AllValid,389800.0,603100.0,408200.0,408300.0
bool,regressed,avx2,multiversioned,16384,ConstantRhs,NullOnlyFailure,658000.0,848000.0,673400.0,673600.0
bool,regressed,avx2,multiversioned,16384,ConstantRhs,ObservableFailure,448700.0,484900.0,468900.0,468700.0
bool,regressed,avx2,multiversioned,16384,ConstantRhs,PartialAccepted,400600.0,620200.0,416000.0,416000.0
bool,regressed,avx2,plain,16384,Columns,AllValid,97150.0,118000.0,97430.0,98640.0
bool,regressed,avx2,plain,16384,Columns,NullOnlyFailure,338600.0,397000.0,343400.0,344200.0
bool,regressed,avx2,plain,16384,Columns,ObservableFailure,153500.0,166900.0,154500.0,156100.0
bool,regressed,avx2,plain,16384,Columns,PartialAccepted,103600.0,245300.0,104200.0,105600.0
bool,regressed,avx2,plain,16384,ConstantLhs,AllValid,97890.0,108500.0,98210.0,99410.0
bool,regressed,avx2,plain,16384,ConstantLhs,NullOnlyFailure,353600.0,459000.0,361300.0,361700.0
bool,regressed,avx2,plain,16384,ConstantLhs,ObservableFailure,154200.0,175400.0,155200.0,156800.0
