label,case,rows,samples,median_ns,p25_ns,p75_ns
selected-before,selected_filtered_c2_plain,16384,36,17495.282,17398.680,17542.810
selected-before,selected_valid_c0_multi,0,36,471.356,470.741,472.171
selected-before,selected_valid_c0_multi,1,36,163.246,161.840,163.930
selected-before,selected_valid_c0_multi,64,36,647.481,645.877,649.379
selected-before,selected_valid_c0_multi,1024,36,1239.827,1237.462,1249.354
selected-before,selected_valid_c0_multi,16384,36,11528.565,11502.930,11562.499
selected-before,selected_valid_c0_plain,0,36,471.334,470.086,473.330
selected-before,selected_valid_c0_plain,1,36,163.595,162.603,163.851
selected-before,selected_valid_c0_plain,64,36,644.842,642.555,647.240
selected-before,selected_valid_c0_plain,1024,36,1241.139,1239.599,1243.607
selected-before,selected_valid_c0_plain,16384,36,11521.160,11492.189,11617.227
selected-before,selected_valid_c1_multi,0,36,632.197,631.269,638.445
selected-before,selected_valid_c1_multi,1,36,160.940,160.152,162.237
selected-before,selected_valid_c1_multi,64,36,644.256,643.399,646.510
selected-before,selected_valid_c1_multi,1024,36,1285.207,1266.667,1330.378
selected-before,selected_valid_c1_multi,16384,36,12168.457,11704.752,13670.127
selected-before,selected_valid_c1_plain,0,36,634.490,633.664,637.149
selected-before,selected_valid_c1_plain,1,36,160.806,160.518,161.433
selected-before,selected_valid_c1_plain,64,36,646.871,644.315,649.185
selected-before,selected_valid_c1_plain,1024,36,1316.508,1272.934,1325.912
selected-before,selected_valid_c1_plain,16384,36,13060.302,12199.790,13329.672
selected-before,selected_valid_c2_multi,0,36,629.593,628.609,630.849
selected-before,selected_valid_c2_multi,1,36,164.329,162.527,165.389
selected-before,selected_valid_c2_multi,64,36,651.962,648.984,660.571
selected-before,selected_valid_c2_multi,1024,36,1310.201,1307.373,1327.128
selected-before,selected_valid_c2_multi,16384,36,12296.387,12244.263,12327.597
selected-before,selected_valid_c2_plain,0,36,631.683,629.456,633.825
selected-before,selected_valid_c2_plain,1,36,163.774,162.385,166.879
selected-before,selected_valid_c2_plain,64,36,650.197,648.394,651.909
selected-before,selected_valid_c2_plain,1024,36,1309.947,1300.532,1330.286
selected-before,selected_valid_c2_plain,16384,36,12315.105,12178.103,12390.990
selected-experiment,selected_filtered_c0_multi,0,36,471.418,470.684,473.467
selected-experiment,selected_filtered_c0_multi,1,36,164.102,163.655,165.882
selected-experiment,selected_filtered_c0_multi,64,36,1748.362,1742.945,1758.627
selected-experiment,selected_filtered_c0_multi,1024,36,3041.606,3035.380,3060.283
selected-experiment,selected_filtered_c0_multi,16384,36,25234.047,25068.359,25288.168
selected-experiment,selected_filtered_c0_plain,0,36,469.899,469.005,471.769
selected-experiment,selected_filtered_c0_plain,1,36,163.657,163.457,164.092
selected-experiment,selected_filtered_c0_plain,64,36,1737.549,1731.537,1742.864
selected-experiment,selected_filtered_c0_plain,1024,36,3041.810,3024.923,3052.357
selected-experiment,selected_filtered_c0_plain,16384,36,25423.340,25269.041,25852.373
selected-experiment,selected_filtered_c1_multi,0,36,631.159,627.438,634.002
selected-experiment,selected_filtered_c1_multi,1,36,162.618,162.320,163.468
selected-experiment,selected_filtered_c1_multi,64,36,1532.420,1530.848,1538.508
selected-experiment,selected_filtered_c1_multi,1024,36,2532.633,2517.344,2538.259
selected-experiment,selected_filtered_c1_multi,16384,36,19545.574,19512.041,19587.807
selected-experiment,selected_filtered_c1_plain,0,36,628.992,625.728,630.814
selected-experiment,selected_filtered_c1_plain,1,36,162.492,161.425,163.470
selected-experiment,selected_filtered_c1_plain,64,36,1527.100,1524.785,1532.482
selected-experiment,selected_filtered_c1_plain,1024,36,2512.736,2508.220,2527.324
selected-experiment,selected_filtered_c1_plain,16384,36,19517.742,19431.561,19669.189
selected-experiment,selected_filtered_c2_multi,0,36,631.770,629.669,635.778
selected-experiment,selected_filtered_c2_multi,1,36,164.805,164.152,165.863
selected-experiment,selected_filtered_c2_multi,64,36,1534.535,1531.428,1541.524
selected-experiment,selected_filtered_c2_multi,1024,36,2742.147,2627.380,2748.596
selected-experiment,selected_filtered_c2_multi,16384,36,21256.348,21120.528,21405.928
selected-experiment,selected_filtered_c2_plain,0,36,629.765,628.184,632.001
selected-experiment,selected_filtered_c2_plain,1,36,163.537,162.882,164.113
selected-experiment,selected_filtered_c2_plain,64,36,1525.686,1521.637,1533.879
selected-experiment,selected_filtered_c2_plain,1024,36,2619.120,2613.729,2646.647
selected-experiment,selected_filtered_c2_plain,16384,36,21269.367,21154.051,23024.336
selected-experiment,selected_valid_c0_multi,0,36,475.820,471.078,540.776
selected-experiment,selected_valid_c0_multi,1,36,164.361,163.855,164.735
selected-experiment,selected_valid_c0_multi,64,36,676.885,674.769,679.682
selected-experiment,selected_valid_c0_multi,1024,36,1564.443,1435.287,1568.517
selected-experiment,selected_valid_c0_multi,16384,36,13934.979,13848.756,14467.816
selected-experiment,selected_valid_c0_plain,0,36,477.203,467.842,908.224
selected-experiment,selected_valid_c0_plain,1,36,164.595,163.817,165.118
selected-experiment,selected_valid_c0_plain,64,36,669.831,668.017,671.275
selected-experiment,selected_valid_c0_plain,1024,36,1441.590,1429.097,1452.825
selected-experiment,selected_valid_c0_plain,16384,36,13830.320,13820.881,13884.562
selected-experiment,selected_valid_c1_multi,0,36,630.376,628.878,632.769
selected-experiment,selected_valid_c1_multi,1,36,162.606,162.053,163.055
selected-experiment,selected_valid_c1_multi,64,36,657.298,656.281,658.696
selected-experiment,selected_valid_c1_multi,1024,36,1309.896,1306.753,1338.262
selected-experiment,selected_valid_c1_multi,16384,36,12624.918,12499.755,12675.538
selected-experiment,selected_valid_c1_plain,0,36,629.420,627.001,631.228
selected-experiment,selected_valid_c1_plain,1,36,163.163,162.798,163.624
selected-experiment,selected_valid_c1_plain,64,36,659.007,656.680,662.002
selected-experiment,selected_valid_c1_plain,1024,36,1317.189,1315.257,1334.056
selected-experiment,selected_valid_c1_plain,16384,36,12751.628,12219.645,12870.441
selected-experiment,selected_valid_c2_multi,0,36,630.031,628.313,631.823
selected-experiment,selected_valid_c2_multi,1,36,164.235,163.135,164.783
selected-experiment,selected_valid_c2_multi,64,36,670.548,668.648,672.434
