family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,before,avx2,multiversioned,64,ConstantLhs,AllValid,970.5,4583.0,1055.0,1102.0
bool,before,avx2,multiversioned,64,ConstantLhs,NullOnlyFailure,9793.0,17990.0,10040.0,10400.0
bool,before,avx2,multiversioned,64,ConstantLhs,ObservableFailure,7984.0,40400.0,8143.000000000001,8446.0
bool,before,avx2,multiversioned,64,ConstantLhs,PartialAccepted,1852.0,9673.0,2104.0,2186.0
bool,before,avx2,multiversioned,64,ConstantRhs,AllValid,944.5,4586.0,1045.0,1087.0
bool,before,avx2,multiversioned,64,ConstantRhs,NullOnlyFailure,9727.0,17680.0,9990.0,10320.0
bool,before,avx2,multiversioned,64,ConstantRhs,ObservableFailure,7901.0,15660.0,8103.999999999999,8272.0
bool,before,avx2,multiversioned,64,ConstantRhs,PartialAccepted,1860.0,8821.0,2094.0,2163.0
bool,before,avx2,multiversioned,16384,Columns,AllValid,27780.0,56300.0,33810.0,37280.0
bool,before,avx2,multiversioned,16384,Columns,NullOnlyFailure,42890.0,190300.0,43480.0,44210.0
bool,before,avx2,multiversioned,16384,Columns,ObservableFailure,34750.0,98340.0,38810.0,43670.0
bool,before,avx2,multiversioned,16384,Columns,PartialAccepted,14010.0,22550.0,14220.0,14470.0
bool,before,avx2,multiversioned,16384,ConstantLhs,AllValid,27780.0,79230.0,51120.0,48610.0
bool,before,avx2,multiversioned,16384,ConstantLhs,NullOnlyFailure,59970.0,69810.0,60380.0,61200.0
bool,before,avx2,multiversioned,16384,ConstantLhs,ObservableFailure,33370.0,99960.0,35620.0,45220.0
bool,before,avx2,multiversioned,16384,ConstantLhs,PartialAccepted,29320.0,55020.0,29530.0,30110.0
bool,before,avx2,multiversioned,16384,ConstantRhs,AllValid,27530.0,59650.0,38820.0,39990.0
bool,before,avx2,multiversioned,16384,ConstantRhs,NullOnlyFailure,56840.0,68690.0,57320.0,58170.0
bool,before,avx2,multiversioned,16384,ConstantRhs,ObservableFailure,34530.0,65489.99999999999,35460.0,40550.0
bool,before,avx2,multiversioned,16384,ConstantRhs,PartialAccepted,25950.0,59380.0,26170.0,26640.0
bool,before,avx2,plain,64,Columns,AllValid,861.5,2574.0,913.0,934.3
bool,before,avx2,plain,64,Columns,NullOnlyFailure,9671.0,52130.0,9974.0,10270.0
